path,path_normalized,filename,file_modified_time,file_added_time,file_size,file_hash,sampleRate,nChannels,domain,product,offset,length,lengthMs,centroid,loudness,peak,druminess,lateTransient,coord_x,coord_y,coord_z,coord_w,category,star,unsupported,format
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis D4fx/MaxV - FX 9.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis D4fx/MaxV - FX 9.wav,MaxV - FX 9.wav,1223725314,1623679727,16572,74dacfb36081a2b1dfe18f7b970e0132,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,8264,187.392,0.806772,-16.1117,0.360443,0.960766,0.0,0.884625,0.406812,0.0156697,-0.020089,HHO,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis D4fx/MaxV - HiHat Closed 2.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis D4fx/MaxV - HiHat Closed 2.wav,MaxV - HiHat Closed 2.wav,1223725314,1623679727,11924,d66668473456b860f9108a3ce52f7d90,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,288,5940,134.694,0.692769,-8.12495,0.977844,0.968804,0.0,0.766012,0.173606,-0.0377362,0.105791,Perc,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/AKAI XE-8/MaxV - XE8 Crash int_13.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/AKAI XE-8/MaxV - XE8 Crash int_13.wav,MaxV - XE8 Crash int_13.wav,1223725314,1623679727,243610,b9e1c14349a96727bf52b67cd594dc69,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,32,121783,2761.52,0.786919,0.436779,0.999359,0.658552,0.0,0.823435,0.740489,0.0556831,-0.012826,Cymbal,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis Hr16b/HR16B 036 Gated Claps.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Alesis Hr16b/HR16B 036 Gated Claps.wav,HR16B 036 Gated Claps.wav,1223725324,1623679729,25132,9bc55e6a9a25a563d6d1625c4ecbcd5d,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,12544,284.444,0.659906,-6.35441,0.999969,0.992887,0.0,0.631163,0.410589,-0.0415271,0.0049231,Clap,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per33.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per33.wav,202per33.wav,1223725326,1623679729,73386,2649e7272f986c6cbdb46773394a5566,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,36671,831.542,0.952499,1.87309,0.99762,0.174954,0.0,0.903182,0.58602,0.0846452,-0.0140809,HHO,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per32.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per32.wav,202per32.wav,1223725326,1623679729,49446,cc1de488d06147c858af14592c964db3,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,24701,560.113,0.420791,2.354,0.976135,0.968637,0.00451573,0.562215,0.55582,0.0481533,-0.0665901,Snare,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per31.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per31.wav,202per31.wav,1223725326,1623679729,63534,78b5e38e4f5ce999e88776246e491c83,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,31745,719.841,0.436187,-1.63819,0.999023,0.888974,0.0,0.673172,0.648516,-0.00885078,-0.0284493,FX,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per30.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per30.wav,202per30.wav,1223725326,1623679729,4942,577e7b221349731386f7aa7c9a60cfca,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,2449,55.5329,0.789088,-1.76052,1.0,0.0203071,0.0,0.781058,0.463523,-0.000596727,0.358096,Perc,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per29.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per29.wav,202per29.wav,1223725326,1623679729,40606,c5447bebcced5e9497ce652229645701,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,20281,459.887,0.7853,2.98434,0.999451,0.00580418,0.0,0.799845,0.573062,-0.0521192,0.0313693,Cymbal,0,,wav
/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per28.wav,/Users/nicolas.jonason/XLN/oneshotexploration/data/200 drum machines/Boss DR-202/202per28.wav,202per28.wav,1223725326,1623679729,22062,15000c245f9937ca24d97fe5beea7d39,44100,1,3283ec56a381360bb0e399f2e52c1c9d,,0,11009,249.637,0.882187,-3.39643,1.0,0.746718,0.0,0.904493,0.391227,-0.00917942,0.0326752,Perc,0,,wav
